Time,Temperature (°C),Light (Lux),Humidity (%RH),During USB (12)
2016-06-10 23:27:28,24.187,7.5,0.00,0
2016-06-10 23:27:38,24.250,7.6,0.00,0
2016-06-10 23:27:48,24.250,7.6,0.00,0
2016-06-10 23:27:58,24.250,7.6,0.00,0
2016-06-10 23:28:08,24.250,7.6,0.00,0
2016-06-10 23:28:18,24.250,7.6,0.00,0
2016-06-10 23:28:28,24.250,7.4,0.00,0
2016-06-10 23:28:38,24.250,6.5,0.00,0
2016-06-10 23:28:48,24.250,6.5,0.00,0
2016-06-10 23:28:58,24.250,6.6,0.00,0
2016-06-10 23:29:08,24.250,6.6,0.00,0
2016-06-10 23:29:18,24.250,6.6,0.00,0
2016-06-10 23:29:28,24.250,6.6,0.00,0
2016-06-10 23:29:38,24.250,6.5,0.00,0
2016-06-10 23:29:48,24.250,6.6,0.00,0
2016-06-10 23:29:58,24.250,6.6,0.00,0
2016-06-10 23:30:08,24.250,6.6,0.00,0
2016-06-10 23:30:18,24.250,6.6,0.00,0
2016-06-10 23:30:28,24.250,6.6,0.00,0
2016-06-10 23:30:38,24.250,6.6,0.00,0
2016-06-10 23:30:48,24.250,6.6,0.00,0
2016-06-10 23:30:58,24.250,6.6,0.00,0
2016-06-10 23:31:08,24.250,6.5,0.00,0
2016-06-10 23:31:18,24.250,6.6,0.00,0
2016-06-10 23:31:28,24.250,6.6,0.00,0
2016-06-10 23:31:38,24.250,6.6,0.00,0
2016-06-10 23:31:48,24.250,6.6,0.00,0
2016-06-10 23:31:58,24.250,6.6,0.00,0
2016-06-10 23:32:08,24.250,6.6,0.00,0
2016-06-10 23:32:18,24.250,6.6,0.00,0
2016-06-10 23:32:28,24.250,6.6,0.00,0
2016-06-10 23:32:38,24.250,6.6,0.00,0
2016-06-10 23:32:48,24.250,6.6,0.00,0
2016-06-10 23:32:58,24.250,6.6,0.00,0
2016-06-10 23:33:08,24.250,6.5,0.00,0
2016-06-10 23:33:18,24.250,6.6,0.00,0
2016-06-10 23:33:28,24.250,6.6,0.00,0
2016-06-10 23:33:38,24.250,6.6,0.00,0
2016-06-10 23:33:48,24.250,6.6,0.00,0
2016-06-10 23:33:58,24.250,6.6,0.00,0
2016-06-10 23:34:08,24.250,6.6,0.00,0
2016-06-10 23:34:18,24.250,6.6,0.00,0
2016-06-10 23:34:28,24.250,6.5,0.00,0
2016-06-10 23:34:38,24.250,6.5,0.00,0
2016-06-10 23:34:48,24.250,6.6,0.00,0
2016-06-10 23:34:58,24.250,6.5,0.00,0
2016-06-10 23:35:08,24.250,6.6,0.00,0
2016-06-10 23:35:18,24.250,6.6,0.00,0
2016-06-10 23:35:28,24.250,6.6,0.00,0
2016-06-10 23:35:38,24.250,6.6,0.00,0
2016-06-10 23:35:48,24.250,6.5,0.00,0
2016-06-10 23:35:58,24.250,6.6,0.00,0
2016-06-10 23:36:08,24.187,6.5,0.00,0
2016-06-10 23:36:18,24.250,6.5,0.00,0
2016-06-10 23:36:28,24.250,6.5,0.00,0
2016-06-10 23:36:38,24.250,6.5,0.00,0
2016-06-10 23:36:48,24.187,6.5,0.00,0
2016-06-10 23:36:58,24.250,6.6,0.00,0
2016-06-10 23:37:08,24.187,6.5,0.00,0
2016-06-10 23:37:18,24.187,6.5,0.00,0
2016-06-10 23:37:28,24.187,6.5,0.00,0
2016-06-10 23:37:38,24.187,6.5,0.00,0
2016-06-10 23:37:48,24.187,6.5,0.00,0
2016-06-10 23:37:58,24.187,6.5,0.00,0
2016-06-10 23:38:08,24.187,6.5,0.00,0
2016-06-10 23:38:18,24.187,6.6,0.00,0
2016-06-10 23:38:28,24.187,6.5,0.00,0
2016-06-10 23:38:38,24.187,6.5,0.00,0
2016-06-10 23:38:48,24.187,6.5,0.00,0
2016-06-10 23:38:58,24.187,6.5,0.00,0
2016-06-10 23:39:08,24.187,6.5,0.00,0
2016-06-10 23:39:18,24.187,6.4,0.00,0
2016-06-10 23:39:28,24.187,6.5,0.00,0
2016-06-10 23:39:38,24.187,6.5,0.00,0
2016-06-10 23:39:48,24.187,6.5,0.00,0
2016-06-10 23:39:58,24.187,6.5,0.00,0
2016-06-10 23:40:08,24.187,6.5,0.00,0
2016-06-10 23:40:18,24.187,6.5,0.00,0
2016-06-10 23:40:28,24.187,6.5,0.00,0
2016-06-10 23:40:38,24.187,6.5,0.00,0
2016-06-10 23:40:48,24.187,6.5,0.00,0
2016-06-10 23:40:58,24.187,6.5,0.00,0
2016-06-10 23:41:08,24.187,6.5,0.00,0
2016-06-10 23:41:18,24.187,6.5,0.00,0
2016-06-10 23:41:28,24.187,6.5,0.00,0
2016-06-10 23:41:38,24.187,6.5,0.00,0
2016-06-10 23:41:48,24.187,6.5,0.00,0
2016-06-10 23:41:58,24.187,6.5,0.00,0
2016-06-10 23:42:08,24.187,6.4,0.00,0
2016-06-10 23:42:18,24.187,6.4,0.00,0
2016-06-10 23:42:28,24.187,6.5,0.00,0
2016-06-10 23:42:38,24.187,6.5,0.00,0
2016-06-10 23:42:48,24.187,6.5,0.00,0
2016-06-10 23:42:58,24.187,6.4,0.00,0
2016-06-10 23:43:08,24.187,6.5,0.00,0
2016-06-10 23:43:18,24.187,6.4,0.00,0
2016-06-10 23:43:28,24.187,6.5,0.00,0
2016-06-10 23:43:38,24.187,6.5,0.00,0
2016-06-10 23:43:48,24.187,6.4,0.00,0
2016-06-10 23:43:58,24.187,6.5,0.00,0
2016-06-10 23:44:08,24.187,6.5,0.00,0
2016-06-10 23:44:18,24.187,6.5,0.00,0
2016-06-10 23:44:28,24.187,6.4,0.00,0
2016-06-10 23:44:38,24.187,6.5,0.00,0
2016-06-10 23:44:48,24.187,6.5,0.00,0
2016-06-10 23:44:58,24.187,6.4,0.00,0
2016-06-10 23:45:08,24.187,6.4,0.00,0
